,url,status_code,history,timestamp,error_msg
ut-northsaltlake2.civicplus.com,http://ut-northsaltlake2.civicplus.com/,200,[],2020-07-02T23:45:13.685854,
ut-ogden.civicplus.com,https://www.ogdencity.com/,200,[<Response [302]>],2020-07-02T23:45:14.503013,
ut-rooseveltcity.civicplus.com,https://www.rooseveltcity.com/,200,[<Response [302]>],2020-07-02T23:45:15.729426,
ut-sandycity.civicplus.com,https://ut-sandycity.civicplus.com/,200,[<Response [301]>],2020-07-02T23:45:19.248105,
ut-sandycityamphitheater.civicplus.com,,,,,"HTTPConnectionPool(host='ut-sandycityamphitheater.civicplus.com', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f396b3a7b10>: Failed to establish a new connection: [Errno -2] Name or service not known'))"
ut-sandycitytechhub.civicplus.com,,,,,"HTTPConnectionPool(host='ut-sandycitytechhub.civicplus.com', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f396b3a76d0>: Failed to establish a new connection: [Errno -2] Name or service not known'))"
ut-sandysid.civicplus.com,http://ut-sandysid.civicplus.com/,200,[],2020-07-02T23:45:19.703852,
ut-saratogasprings.civicplus.com,http://ut-saratogasprings.civicplus.com/,200,[],2020-07-02T23:45:20.287224,
ut-seviercounty.civicplus.com,http://ut-seviercounty.civicplus.com/,200,[],2020-07-02T23:45:20.422370,
ut-springdale.civicplus.com,https://www.springdaletown.com/,200,[<Response [302]>],2020-07-02T23:45:21.301407,
ut-summitcounty.civicplus.com,https://www.summitcounty.org/,200,[<Response [302]>],2020-07-02T23:45:22.023156,
ut-summitcounty2.civicplus.com,https://www.summitcounty.org/,200,[<Response [302]>],2020-07-02T23:45:22.663734,
ut-vineyard.civicplus.com,http://ut-vineyard.civicplus.com/,200,[],2020-07-02T23:45:23.279064,
ut-westvalleycity.civicplus.com,http://ut-westvalleycity.civicplus.com/,200,[],2020-07-02T23:45:23.686084,
ut-westvalleycity2.civicplus.com,http://ut-westvalleycity2.civicplus.com/,200,[],2020-07-02T23:45:24.077503,
ut-westvalleycity3.civicplus.com,http://ut-westvalleycity3.civicplus.com/,200,[],2020-07-02T23:45:24.502290,
v6-lbtest.civicplus.com,,,,,"HTTPConnectionPool(host='v6-lbtest.civicplus.com', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f396b377910>: Failed to establish a new connection: [Errno 110] Connection timed out'))"
va-ashland.civicplus.com,http://va-ashland.civicplus.com/,200,[],2020-07-02T23:47:35.266470,
va-ashland2.civicplus.com,http://va-ashland2.civicplus.com/,200,[],2020-07-02T23:47:35.861178,
va-bedford.civicplus.com,https://www.bedfordva.gov/,200,[<Response [302]>],2020-07-02T23:47:36.495027,
va-berryville.civicplus.com,http://va-berryville.civicplus.com/,200,[],2020-07-02T23:47:36.988521,
va-brambletonca.civicplus.com,http://va-brambletonca.civicplus.com/,200,[],2020-07-02T23:47:37.659092,
va-bristol.civicplus.com,https://www.bristolva.org/,200,[<Response [302]>],2020-07-02T23:47:38.447077,
va-bristol2.civicplus.com,https://www.bristolva.org/,200,[<Response [302]>],2020-07-02T23:47:39.155370,
va-campbellcounty.civicplus.com,http://va-campbellcounty.civicplus.com/,200,[],2020-07-02T23:47:39.639397,
va-campbellcountyed.civicplus.com,http://va-campbellcountyed.civicplus.com/,200,[],2020-07-02T23:47:40.051275,
va-carolinecounty.civicplus.com,https://co.caroline.va.us/,200,[<Response [302]>],2020-07-02T23:47:40.891153,
va-charlescitycounty2.civicplus.com,http://va-charlescitycounty2.civicplus.com/,200,[],2020-07-02T23:47:41.504568,
va-charlottesville.civicplus.com,https://www.charlottesville.gov/,200,[<Response [302]>],2020-07-02T23:47:42.513087,
va-chesterfieldcountylibrary.civicplus.com,https://va-chesterfieldcountylibrary.civicplus.com/,200,[<Response [301]>],2020-07-02T23:47:43.455320,
va-christiansburg.civicplus.com,https://www.christiansburg.org/,200,[<Response [302]>],2020-07-02T23:47:44.640796,
va-christiansburg2.civicplus.com,https://www.christiansburg.org/,200,[<Response [302]>],2020-07-02T23:47:45.504502,
va-christiansburg3.civicplus.com,https://www.christiansburg.org/,200,[<Response [302]>],2020-07-02T23:47:46.377109,
va-christiansburgaquatic.civicplus.com,http://va-christiansburgaquatic.civicplus.com/,200,[],2020-07-02T23:47:46.831142,
va-colonialheights.civicplus.com,http://va-colonialheights.civicplus.com/,200,[],2020-07-02T23:47:47.644483,
va-colonialheights2.civicplus.com,http://va-colonialheights2.civicplus.com/,200,[],2020-07-02T23:47:48.172797,
va-danville.civicplus.com,http://va-danville.civicplus.com/,200,[],2020-07-02T23:47:48.912508,
va-danville2.civicplus.com,http://va-danville2.civicplus.com/,200,[],2020-07-02T23:47:49.663338,
